Designator,Footprint,Quantity,Value,LCSC Part #
BR1,SOP245P670X290-4N,1,MB10S,C2488
C1,0603,1,1n,C1588
C2,0805,1,2.2u,C49217
D1,DIOM4325X250N,1,1SMA4746,C260228
D2,D_SOD-123,1,D_Zener_Small,C111753
D3,SODFL2512X90N,1,UDZSTE-175.6B,C122985
D4,0603,1,LED,C2290
J1,PinHeader_1x10_P2.54mm_Horizontal,1,REG1_App_Connector,C492418
J2,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",1,Dali,C441173
Q1,SOT-23,1,BSS123,C431506
Q2,SOT-23,1,BC857,C8666
"R1, R2, R4, R5",1206,4,100k,C17900
R10,1206,1,1k,C4410
R11,1206,1,300,C17887
R3,0603,1,390,C23151
R6,0805,1,16k,C17490
"R7, R8, R9",0603,3,4.7k,C23162
"U1, U2",SOIC254P1030X390-4N,2,EL817S1(C)(TU)-F,C106900
U3,SOT230P700X180-4N,1,STN93003,C880083
U4,SOT-223,1,STN1HNK60,C39303
