Designator,Mid X,Mid Y,Rotation,Layer
BR1,88.25,-103.114,180.0,top
C1,122.54,-114.29,270.0,top
C2,128.128,-114.036,270.0,top
D1,96.632,-112.125,270.0,top
D2,92.822,-111.75,270.0,top
D3,125.334,-114.036,270.0,top
D4,147.686,-102.352,0.0,top
J1,130.76,-94.3,90.0,bottom
J2,76.4505,-101.475,270.0,top
Q1,104.336,-113.208,180.0,top
Q2,101.966,-102.86,90.0,top
R1,92.441,-98.542,0.0,top
R10,146.416,-110.988,0.0,top
R11,149.464,-108.448,0.0,top
R2,97.267,-98.542,0.0,top
R3,102.22,-105.908,0.0,top
R4,86.98,-111.75,90.0,top
R5,90.028,-111.75,270.0,top
R6,99.934,-113.274,90.0,top
R7,120.254,-114.29,90.0,top
R8,144.384,-102.352,180.0,top
R9,146.225,-104.13,180.0,top
U1,136.026,-103.622,0.0,top
U2,136.002,-109.464,180.0,top
U3,113.904,-104.638,180.0,top
U4,113.904,-113.528,180.0,top
